XmlQName,3003,DataType
XmlToken,3006,DataType
XmlNmToken,3009,DataType
XmlName,3012,DataType
XmlNcName,3015,DataType
XmlId,3018,DataType
XmlIdRef,3021,DataType
XmlEntity,3024,DataType
XmlInteger,3027,DataType
XmlNonPositiveInteger,3030,DataType
XmlNegativeInteger,3033,DataType
XmlNonNegativeInteger,3036,DataType
XmlPositiveInteger,3039,DataType
XmlHexBinary,3042,DataType
XmlYearMonthDuration,3045,DataType
XmlGYearMonth,3048,DataType
XmlDayTimeDuration,3051,DataType
XmlGYear,3054,DataType
XmlGMonth,3057,DataType
XmlGDay,3060,DataType
XmlGMonthDay,3063,DataType
XmlTime,3066,DataType
XmlDate,3069,DataType
Server_Namespaces_http___opcfoundation_org_UA_XML_,5001,Object
Server_Namespaces_http___opcfoundation_org_UA_XML__IsNamespaceSubset,6001,Variable
Server_Namespaces_http___opcfoundation_org_UA_XML__NamespacePublicationDate,6002,Variable
Server_Namespaces_http___opcfoundation_org_UA_XML__NamespaceUri,6003,Variable
Server_Namespaces_http___opcfoundation_org_UA_XML__NamespaceVersion,6004,Variable
Server_Namespaces_http___opcfoundation_org_UA_XML__StaticNodeIdTypes,6005,Variable
Server_Namespaces_http___opcfoundation_org_UA_XML__StaticNumericNodeIdRange,6006,Variable
Server_Namespaces_http___opcfoundation_org_UA_XML__StaticStringNodeIdPattern,6007,Variable
