Generate Test Data for Part 13 Spec
Start of Raw Data Tables

Historian1

Stepped ,false
Treat Uncertain as Bad ,false
Percent Bad ,100
Percent Good ,100
Use Sloped Extrapolation ,false

Timestamp,Value,StatusCode,Notes
12:00:00,,"Bad_NoData","First archive entry, Point created"
12:00:10,10,"Good",""
12:00:20,20,"Good",""
12:00:30,30,"Good",""
12:00:40,,"Bad","ANNOTATION: Operator 1 Jan-02-2012 8:00:00 Scan failed, Bad data entered ANNOTATION: Jan-04-2012 7:10:00 Value cannot be verified"
12:00:50,50,"Good","ANNOTATION: Engineer1 Jan-04-2012 7:00:00 Scanner fixed"
12:01:00,60,"Good",""
12:01:10,70,"Uncertain","ANNOTATION: Technician_1 Jan-02-2012 8:00:00 Value flagged as questionable"
12:01:20,80,"Good",""
12:01:30,90,"Good",""
,,"No Data","No more entries, awaiting next Value"

Historian2

Stepped ,false
Treat Uncertain as Bad ,true
Percent Bad ,100
Percent Good ,100
Use Sloped Extrapolation ,true

Timestamp,Value,StatusCode,Notes
12:00:00,,"Bad_NoData","First archive entry, Point created"
12:00:02,10,"Good",""
12:00:25,20,"Good",""
12:00:28,25,"Good",""
12:00:39,30,"Good",""
12:00:42,undefined,"Bad","Bad quality data received, Bad data entered"
12:00:48,40,"Good","Received Good StatusCode value"
12:00:52,50,"Good",""
12:01:12,60,"Good",""
12:01:17,70,"Uncertain","Value is flagged as questionable"
12:01:23,70,"Good",""
12:01:26,80,"Good",""
12:01:30,90,"Good",""
,,"No Data","No more entries, awaiting next Value"

Historian3

Stepped ,true
Treat Uncertain as Bad ,true
Percent Bad ,50
Percent Good ,50
Use Sloped Extrapolation ,false

Timestamp,Value,StatusCode,Notes
12:00:00,,"Bad_NoData","First archive entry, Point created"
12:00:02,10,"Good",""
12:00:25,20,"Good",""
12:00:28,25,"Good",""
12:00:39,30,"Good",""
12:00:42,undefined,"Bad","Bad quality data received, Bad data entered"
12:00:48,40,"Good","Received Good StatusCode value"
12:00:52,50,"Good",""
12:01:12,60,"Good",""
12:01:17,70,"Uncertain","Value is flagged as questionable"
12:01:23,70,"Good",""
12:01:26,80,"Good",""
12:01:30,90,"Good",""
,,"No Data","No more entries, awaiting next Value"

Historian4

Stepped ,true
Treat Uncertain as Bad ,true
Percent Bad ,100
Percent Good ,100
Use Sloped Extrapolation ,false

Timestamp,Value,StatusCode,Notes
12:00:00,,"Bad_NoData","First archive entry, Point created"
12:00:02,true,"Good",""
12:00:25,false,"Good",""
12:00:28,true,"Good",""
12:00:39,true,"Good",""
12:00:42,undefined,"Bad","Bad quality data received, Bad data entered"
